region,province
North China,Beijing
North China,Tianjin
North China,Hebei
North China,Shanxi
North China,Inner Mongolia
Northeast China,Liaoning
Northeast China,Jilin
Northeast China,Heilongjiang
East China,Shanghai
East China,Jiangsu
East China,Zhejiang
East China,Anhui
East China,Fujian
East China,Taiwan
East China,Jiangxi
East China,Shandong
Central China,Henan
Central China,Hubei
Central China,Hunan
Central China,Guangdong
Central China,Guangxi
Central China,Hainan
Central China,Hong Kong
Central China,Macau
Southwest China,Chongqing
Southwest China,Sichuan
Southwest China,Guizhou
Southwest China,Yunnan
Southwest China,Tibet
Northwest China,Shaanxi
Northwest China,Gansu
Northwest China,Qinghai
Northwest China,Ningxia
Northwest China,Xinjiang
